analysis,contrast,mean_net_higher_fraction,ci_low,ci_high,higher_docs,tied_docs,lower_docs,sign_test_p,higher_cells,tied_cells,lower_cells,sign_test_p_holm
all_ordinal,Codex - Claude,0.5365768134998903,0.49774380889765507,0.5762652233806079,65,0,0,5.421010862427522e-20,980,692,55,1.6263032587282567e-19
all_ordinal,Gemini - Claude,0.28082558467173846,0.22146966281581665,0.3397783413168028,54,4,7,4.32210722073334e-10,653,901,173,4.32210722073334e-10
all_ordinal,Codex - Gemini,0.2967987852603237,0.2433736028928337,0.3496421918537303,57,1,7,7.638141345540223e-11,668,906,153,1.5276282691080445e-10
ethical_principles,Codex - Claude,0.6092307692307692,0.5569230769230769,0.6615384615384615,65,0,0,5.421010862427522e-20,411,224,15,1.6263032587282567e-19
ethical_principles,Gemini - Claude,0.2907692307692307,0.21230769230769228,0.36923076923076925,50,4,11,4.588831219506234e-07,256,327,67,4.588831219506234e-07
ethical_principles,Codex - Gemini,0.363076923076923,0.29384615384615387,0.4323076923076923,53,8,4,5.910882894255564e-12,273,340,37,1.1821765788511128e-11
