model,contrast,log_odds,se,odds_ratio,ci_low,ci_high,p,documents,fields,ratings,p_holm
all_ordinal,Codex - Claude,1.379374652317017,0.09459484870119401,3.9724167090218927,3.288395375280047,4.798721780458791,5.1190730719563225e-22,65,29,5181,1.5357219215868968e-21
all_ordinal,Gemini - Claude,0.6594624770941419,0.08158638749213105,1.9337526186647578,1.6429196467080485,2.2760694338798118,2.301827148940477e-11,65,29,5181,2.301827148940477e-11
all_ordinal,Codex - Gemini,0.7199121752228751,0.08223266708825304,2.0542527884279314,1.7430449195872055,2.421024536627155,1.5193528762022834e-12,65,29,5181,3.038705752404567e-12
ethical_principles,Codex - Claude,1.4272419378787309,0.11251587287724449,4.167189958851519,3.3283132430772167,5.217499341227134,3.9913543289339257e-19,65,10,1950,1.1974062986801777e-18
ethical_principles,Gemini - Claude,0.6211790896514675,0.0905054360862385,1.8611211773609162,1.553287567581492,2.22996186225482,3.228474805772516e-09,65,10,1950,3.228474805772516e-09
ethical_principles,Codex - Gemini,0.8060628482272634,0.09622252898951979,2.2390750315144046,1.8475053112213928,2.7136360400700634,6.987498510230628e-12,65,10,1950,1.3974997020461256e-11
without_COR,Codex - Claude,1.333236070444427,0.10123293913615448,3.793298929527789,3.0965117855862143,4.646879380771549,1.6943261048804518e-18,55,29,4401,5.082978314641356e-18
without_COR,Gemini - Claude,0.564237545476313,0.08462036857034373,1.758106795086696,1.4837666985563183,2.0831708286332673,1.4254867568113996e-08,55,29,4401,1.4254867568113996e-08
without_COR,Codex - Gemini,0.768998524968114,0.09401737663846779,2.1576043845167745,1.7869406683651292,2.6051545876702775,5.0718525081594287e-11,55,29,4401,1.0143705016318857e-10
without_FRM,Codex - Claude,1.6524410239935934,0.09276214783663725,5.219705715652665,4.333173382608945,6.287615415382493,8.646078110156495e-24,53,27,4176,2.5938234330469485e-23
without_FRM,Gemini - Claude,0.7872680249825524,0.10455894618574109,2.197385017514063,1.7814990087996223,2.710358462926528,7.096198985064556e-10,53,27,4176,7.096198985064556e-10
without_FRM,Codex - Gemini,0.8651729990110409,0.09044614901150598,2.375416995223624,1.9811540393380638,2.8481409265291244,4.709391052341755e-13,53,27,4176,9.41878210468351e-13
without_GOV,Codex - Claude,1.3591226948903388,0.10022813385589197,3.8927766504453047,3.182626244578639,4.761385373499435,3.3012618987309542e-18,50,29,4011,9.903785696192862e-18
without_GOV,Gemini - Claude,0.6036476627821808,0.09028162558795862,1.8287774121255285,1.5253439774873208,2.192572214832339,2.0319085460354392e-08,50,29,4011,2.0319085460354392e-08
without_GOV,Codex - Gemini,0.7554750321081579,0.09615559502239837,2.1286224472342195,1.7546038929837167,2.5823683288222625,3.1649151246927694e-10,50,29,4011,6.329830249385539e-10
without_INS,Codex - Claude,1.298277654754908,0.10268722027194764,3.662982311262709,2.9803010019476313,4.50204170781917,3.416084400519547e-17,51,29,4089,1.0248253201558642e-16
without_INS,Gemini - Claude,0.5951957621532369,0.08965080193515663,1.813385902544324,1.5145628159990225,2.171166753078807,2.2032724396947063e-08,51,29,4089,2.2032724396947063e-08
without_INS,Codex - Gemini,0.7030818926016711,0.09191099600245206,2.019968450247272,1.679461529827841,2.429512357102117,5.812901625785725e-10,51,29,4089,1.162580325157145e-09
without_JRN,Codex - Claude,1.3744141486160226,0.11229040250078058,3.952760314350554,3.1546332256852154,4.952814791745227,1.1714478611978e-16,51,28,4047,3.5143435835934003e-16
without_JRN,Gemini - Claude,0.8145740036380907,0.08989408077609053,2.258213476692842,1.8851670328606351,2.705080248819611,3.97572243449075e-12,51,28,4047,7.9514448689815e-12
without_JRN,Codex - Gemini,0.5598401449779319,0.07876921658729615,1.7503926688717573,1.4942546449225735,2.050436654589588,4.076764060958128e-09,51,28,4047,4.076764060958128e-09
